zone_id,period_start,period_end,supplied_kl,billed_kl,connections,pipe_age_years,pressure_m
DEL-016,2026-08-01,2026-08-31,20981.0,7343.3,1706,18,16.0
DEL-017,2026-08-01,2026-08-31,13529.7,4735.4,913,29,19.5
DEL-018,2026-08-01,2026-08-31,15188.2,5315.9,1597,21,10.8
DEL-019,2026-08-01,2026-08-31,22909.1,8018.2,2002,44,25.9
DEL-020,2026-08-01,2026-08-31,21535.8,7635.7,2127,8,21.9
DEL-021,2026-08-01,2026-08-31,20396.3,7138.7,1483,17,15.5
DEL-022,2026-08-01,2026-08-31,31173.3,10910.7,2349,43,21.9
DEL-023,2026-08-01,2026-08-31,23785.5,8324.9,1989,34,12.0
DEL-024,2026-08-01,2026-08-31,31707.0,14396.8,2458,16,8.9
DEL-025,2026-08-01,2026-08-31,15943.0,5580.0,1122,30,16.0
DEL-026,2026-08-01,2026-08-31,14639.0,5123.6,1051,32,23.8
DEL-027,2026-08-01,2026-08-31,21775.7,7621.5,2115,40,22.5
DEL-028,2026-08-01,2026-08-31,34194.7,18433.6,2507,16,11.7
DEL-029,2026-08-01,2026-08-31,24061.0,8421.4,1605,27,17.7
DEL-030,2026-08-01,2026-08-31,25593.4,12924.6,2128,24,12.3
DEL-031,2026-08-01,2026-08-31,9343.3,3270.2,723,8,20.4
DEL-032,2026-08-01,2026-08-31,20002.9,7001.0,1386,38,14.9
DEL-033,2026-08-01,2026-08-31,24250.2,8666.5,2471,34,20.4
DEL-034,2026-08-01,2026-08-31,19371.6,6780.1,1591,9,23.0
DEL-035,2026-08-01,2026-08-31,19221.1,6727.4,1475,45,10.7
DEL-036,2026-08-01,2026-08-31,25704.5,8996.6,2459,27,13.0
DEL-037,2026-08-01,2026-08-31,10232.0,3581.2,737,42,9.6
DEL-038,2026-08-01,2026-08-31,23368.0,8178.8,1685,43,23.8
DEL-039,2026-08-01,2026-08-31,18218.8,8296.0,1246,24,24.9
DEL-040,2026-08-01,2026-08-31,29872.3,11748.0,2412,21,18.8
DEL-041,2026-08-01,2026-08-31,10915.5,3820.4,993,27,19.2
DEL-042,2026-08-01,2026-08-31,34371.0,15271.2,2587,24,13.9
DEL-043,2026-08-01,2026-08-31,22872.5,8005.4,1559,9,19.0
DEL-044,2026-08-01,2026-08-31,9892.7,3462.4,667,38,20.1
DEL-045,2026-08-01,2026-08-31,11106.3,3887.2,810,40,22.9
DEL-046,2026-08-01,2026-08-31,18590.3,6506.6,1699,20,14.2
BEN-001,2026-08-01,2026-08-31,17758.6,6215.5,1289,29,22.5
BEN-002,2026-08-01,2026-08-31,33909.0,13967.4,2458,16,19.5
BEN-003,2026-08-01,2026-08-31,33091.4,11582.0,2365,44,24.9
BEN-004,2026-08-01,2026-08-31,24985.5,8744.9,1991,26,24.1
BEN-005,2026-08-01,2026-08-31,9606.8,3362.4,859,41,15.4
BEN-006,2026-08-01,2026-08-31,7264.7,2542.6,652,25,19.4
BEN-007,2026-08-01,2026-08-31,23553.4,8243.7,1890,34,10.4
BEN-008,2026-08-01,2026-08-31,15197.2,5319.0,1561,33,15.4
BEN-009,2026-08-01,2026-08-31,20039.5,7013.8,1691,14,25.6
BEN-010,2026-08-01,2026-08-31,10105.3,3536.9,682,8,25.8
BEN-011,2026-08-01,2026-08-31,24512.1,10243.4,2315,13,22.3
BEN-012,2026-08-01,2026-08-31,13627.5,4769.6,1044,28,19.9
BEN-013,2026-08-01,2026-08-31,11802.0,4130.7,938,32,20.9
BEN-014,2026-08-01,2026-08-31,23482.2,8218.8,1726,11,24.3
BEN-015,2026-08-01,2026-08-31,14412.9,5044.5,978,20,22.3
BEN-016,2026-08-01,2026-08-31,24795.9,8678.6,2279,18,18.5
BEN-017,2026-08-01,2026-08-31,10065.6,3523.0,787,20,21.8
BEN-018,2026-08-01,2026-08-31,22070.7,7724.7,1716,37,8.5
BEN-019,2026-08-01,2026-08-31,22760.3,8481.4,1610,7,18.4
BEN-020,2026-08-01,2026-08-31,14378.0,6751.0,1138,44,22.4
BEN-021,2026-08-01,2026-08-31,8527.9,2984.8,764,7,15.7
BEN-022,2026-08-01,2026-08-31,30890.9,15623.7,2591,29,8.9
BEN-023,2026-08-01,2026-08-31,13148.0,4601.8,1320,40,10.9
BEN-024,2026-08-01,2026-08-31,14289.6,5001.4,1072,11,8.5
BEN-025,2026-08-01,2026-08-31,14947.5,5231.6,1498,40,22.6
BEN-026,2026-08-01,2026-08-31,16884.9,6399.9,1760,20,13.3
BEN-027,2026-08-01,2026-08-31,21653.7,7979.9,1573,7,8.2
BEN-028,2026-08-01,2026-08-31,20456.1,7245.0,1921,21,12.2
BEN-029,2026-08-01,2026-08-31,16008.1,5602.8,1677,15,25.9
BEN-030,2026-08-01,2026-08-31,7316.5,2560.8,731,6,23.2
BEN-031,2026-08-01,2026-08-31,10604.2,3711.5,1098,24,17.6
BEN-032,2026-08-01,2026-08-31,14061.8,4921.6,1294,21,13.0
BEN-033,2026-08-01,2026-08-31,8050.3,2817.6,680,22,8.9
BEN-034,2026-08-01,2026-08-31,11520.3,4032.1,982,42,18.8
BEN-035,2026-08-01,2026-08-31,28445.6,14096.1,2373,23,9.4
BEN-036,2026-08-01,2026-08-31,16106.6,5637.3,1615,31,24.6
BEN-037,2026-08-01,2026-08-31,31985.7,11195.0,2496,37,20.7
BEN-038,2026-08-01,2026-08-31,26402.4,9865.5,2564,41,8.3
BEN-039,2026-08-01,2026-08-31,18252.6,6388.4,1401,10,9.6
BEN-040,2026-08-01,2026-08-31,11669.8,4084.4,1222,19,25.4
BEN-041,2026-08-01,2026-08-31,25806.7,11395.2,2306,36,8.1
BEN-042,2026-08-01,2026-08-31,11404.5,3991.6,988,17,9.9
BEN-043,2026-08-01,2026-08-31,15265.4,5342.9,1131,14,12.9
BEN-044,2026-08-01,2026-08-31,7512.7,2629.4,743,39,12.1
BEN-045,2026-08-01,2026-08-31,7256.4,3705.0,601,13,10.0
BEN-046,2026-08-01,2026-08-31,12757.3,4465.1,1172,45,17.8
BEN-047,2026-08-01,2026-08-31,16618.1,5816.3,1645,31,22.4
BEN-048,2026-08-01,2026-08-31,15214.7,5325.1,1291,16,20.1
BEN-049,2026-08-01,2026-08-31,24351.1,10612.4,1858,18,18.9
BEN-050,2026-08-01,2026-08-31,9426.6,3299.3,637,45,23.8
BEN-051,2026-08-01,2026-08-31,24135.7,9180.2,2062,36,18.2
BEN-052,2026-08-01,2026-08-31,32304.7,12231.0,2375,37,12.0
BEN-053,2026-08-01,2026-08-31,12503.6,4376.3,1018,42,17.0
BEN-054,2026-08-01,2026-08-31,12517.4,4381.1,1273,11,20.6
BEN-055,2026-08-01,2026-08-31,22021.0,8285.8,1723,9,15.2
BEN-056,2026-08-01,2026-08-31,11873.3,4155.7,902,36,20.2
BEN-057,2026-08-01,2026-08-31,23766.3,10955.9,1898,24,25.9
BEN-058,2026-08-01,2026-08-31,29868.7,13500.9,2461,17,17.9
BEN-059,2026-08-01,2026-08-31,18945.0,6630.8,1951,22,25.3
BEN-060,2026-08-01,2026-08-31,21535.7,7537.5,1582,15,17.3
BEN-061,2026-08-01,2026-08-31,13439.7,4703.9,898,15,23.1
BEN-062,2026-08-01,2026-08-31,32417.0,13544.4,2486,22,19.0
BEN-063,2026-08-01,2026-08-31,10865.8,3803.0,977,44,25.2
BEN-064,2026-08-01,2026-08-31,10416.7,3645.8,813,35,18.6
BEN-065,2026-08-01,2026-08-31,16045.7,5616.0,1273,39,21.9
BEN-066,2026-08-01,2026-08-31,12177.5,4262.1,1098,37,19.7
BEN-067,2026-08-01,2026-08-31,10313.6,3609.8,969,21,22.3
BEN-068,2026-08-01,2026-08-31,25214.9,8825.2,2151,44,24.7
BEN-069,2026-08-01,2026-08-31,13140.8,4599.3,1096,38,18.5
BEN-070,2026-08-01,2026-08-31,22642.7,9488.1,1918,11,15.4
BEN-071,2026-08-01,2026-08-31,30301.4,11626.3,2245,44,9.0
BEN-072,2026-08-01,2026-08-31,23207.6,8371.3,1597,15,11.6
BEN-073,2026-08-01,2026-08-31,13216.6,4625.8,1131,21,22.8
BEN-074,2026-08-01,2026-08-31,19802.4,6930.8,1654,20,21.1
BEN-075,2026-08-01,2026-08-31,20962.4,7336.8,1541,12,17.9
BEN-076,2026-08-01,2026-08-31,14605.9,5112.1,1211,28,10.8
BEN-077,2026-08-01,2026-08-31,27064.6,11671.2,2205,31,11.5
BEN-078,2026-08-01,2026-08-31,11421.8,3997.6,1017,31,11.6
BEN-079,2026-08-01,2026-08-31,24839.9,9669.3,2264,37,11.5
BEN-080,2026-08-01,2026-08-31,24584.0,10275.6,1897,20,12.0
BEN-081,2026-08-01,2026-08-31,16677.3,5837.1,1729,27,18.2
BEN-082,2026-08-01,2026-08-31,14926.8,5224.4,1309,17,20.7
BEN-083,2026-08-01,2026-08-31,25954.8,12924.8,2391,10,16.3
BEN-084,2026-08-01,2026-08-31,14449.2,5057.2,1252,40,17.9
BEN-085,2026-08-01,2026-08-31,11381.2,3983.4,1193,42,13.5
BEN-086,2026-08-01,2026-08-31,8006.0,2802.1,649,11,10.6
BEN-087,2026-08-01,2026-08-31,13294.3,4653.0,1018,27,22.9
BEN-088,2026-08-01,2026-08-31,22594.1,9132.8,2168,40,11.1
BEN-089,2026-08-01,2026-08-31,22453.4,7858.7,1576,27,25.1
BEN-090,2026-08-01,2026-08-31,17359.6,6235.8,1744,8,25.4
BEN-091,2026-08-01,2026-08-31,36196.1,13298.2,2574,29,23.1
BEN-092,2026-08-01,2026-08-31,14727.6,5154.7,1095,10,18.1
BEN-093,2026-08-01,2026-08-31,19210.6,7822.9,1478,15,11.6
BEN-094,2026-08-01,2026-08-31,29482.5,12286.7,2147,36,13.0
BEN-095,2026-08-01,2026-08-31,21763.2,9261.5,2163,8,10.8
BEN-096,2026-08-01,2026-08-31,15600.7,5460.2,1397,40,9.0
BEN-097,2026-08-01,2026-08-31,12440.5,4354.2,945,21,18.4
BEN-098,2026-08-01,2026-08-31,7755.2,2714.3,661,10,25.0
BEN-099,2026-08-01,2026-08-31,6915.7,2420.5,673,42,13.9
BEN-100,2026-08-01,2026-08-31,14361.4,5026.5,961,29,15.2
BEN-101,2026-08-01,2026-08-31,25421.3,11122.1,1711,19,25.8
HYD-001,2026-08-01,2026-08-31,10978.1,3842.3,1013,9,20.5
HYD-002,2026-08-01,2026-08-31,18720.3,6552.1,1469,15,14.4
HYD-003,2026-08-01,2026-08-31,33598.7,16319.3,2257,12,12.5
HYD-004,2026-08-01,2026-08-31,21340.8,7469.3,1553,32,25.3
HYD-005,2026-08-01,2026-08-31,30275.9,14793.5,2094,19,17.1
HYD-006,2026-08-01,2026-08-31,23179.2,8594.3,2132,40,18.0
HYD-007,2026-08-01,2026-08-31,16755.3,5864.4,1145,19,17.7
HYD-008,2026-08-01,2026-08-31,27972.4,10304.6,1978,32,14.1
HYD-009,2026-08-01,2026-08-31,26839.5,11540.7,2323,25,15.6
HYD-010,2026-08-01,2026-08-31,11268.9,3944.1,773,29,25.1
HYD-011,2026-08-01,2026-08-31,23915.3,9805.9,2478,18,23.2
HYD-012,2026-08-01,2026-08-31,22019.8,7706.9,2209,33,25.7
HYD-013,2026-08-01,2026-08-31,9576.1,4579.5,721,30,22.5
HYD-014,2026-08-01,2026-08-31,7351.7,2573.1,648,9,14.3
HYD-015,2026-08-01,2026-08-31,11609.2,4063.2,1032,15,8.1
HYD-016,2026-08-01,2026-08-31,21645.3,7575.9,2081,25,22.2
HYD-017,2026-08-01,2026-08-31,25061.7,8771.6,2172,43,24.0
HYD-018,2026-08-01,2026-08-31,27393.0,11032.0,2063,21,20.4
HYD-019,2026-08-01,2026-08-31,30429.6,13965.1,2374,30,9.6
HYD-020,2026-08-01,2026-08-31,16329.4,5715.3,1438,29,9.9
HYD-021,2026-08-01,2026-08-31,23803.2,10539.8,2083,12,10.2
HYD-022,2026-08-01,2026-08-31,23994.7,11814.0,1838,10,16.4
HYD-023,2026-08-01,2026-08-31,16034.7,5612.1,1071,27,9.3
HYD-024,2026-08-01,2026-08-31,16180.2,5663.1,1422,42,21.7
HYD-025,2026-08-01,2026-08-31,13797.5,4829.1,1056,34,9.0
HYD-026,2026-08-01,2026-08-31,34491.9,12072.2,2322,35,19.8
HYD-027,2026-08-01,2026-08-31,12290.2,4301.6,1174,32,24.8
HYD-028,2026-08-01,2026-08-31,20206.1,8803.4,1804,31,8.7
HYD-029,2026-08-01,2026-08-31,11122.9,3893.0,799,43,20.6
HYD-030,2026-08-01,2026-08-31,14821.5,5187.5,1312,10,23.9
HYD-031,2026-08-01,2026-08-31,21584.6,8037.2,1951,39,14.5
HYD-032,2026-08-01,2026-08-31,13376.2,6293.5,1037,11,15.7
HYD-033,2026-08-01,2026-08-31,15486.7,5420.3,1115,10,12.9
HYD-034,2026-08-01,2026-08-31,26748.1,14628.7,2394,6,17.4
HYD-035,2026-08-01,2026-08-31,28624.6,12128.8,1912,14,18.1
HYD-036,2026-08-01,2026-08-31,9002.1,3150.7,934,19,15.6
HYD-037,2026-08-01,2026-08-31,15103.3,5286.2,1020,12,10.9
HYD-038,2026-08-01,2026-08-31,19056.1,6669.6,1349,33,20.9
HYD-039,2026-08-01,2026-08-31,14777.3,5172.1,994,15,18.6
HYD-040,2026-08-01,2026-08-31,16120.9,5642.3,1138,15,24.4
HYD-041,2026-08-01,2026-08-31,31966.8,12206.6,2494,27,17.7
HYD-042,2026-08-01,2026-08-31,23021.5,8337.0,1559,36,13.8
HYD-043,2026-08-01,2026-08-31,15596.8,6131.6,1541,7,21.7
HYD-044,2026-08-01,2026-08-31,16947.6,5931.7,1379,25,25.9
HYD-045,2026-08-01,2026-08-31,20827.6,8425.0,1766,21,19.8
HYD-046,2026-08-01,2026-08-31,17710.9,6198.8,1510,27,16.1
HYD-047,2026-08-01,2026-08-31,13017.7,4556.2,920,8,11.7
HYD-048,2026-08-01,2026-08-31,14064.2,4922.5,1471,45,12.9
HYD-049,2026-08-01,2026-08-31,25784.4,12718.9,2486,28,9.8
HYD-050,2026-08-01,2026-08-31,36063.9,20055.7,2424,18,10.8
HYD-051,2026-08-01,2026-08-31,23290.4,9141.8,1857,13,22.4
HYD-052,2026-08-01,2026-08-31,9917.2,3471.0,763,15,9.6
HYD-053,2026-08-01,2026-08-31,32182.7,14446.8,2395,29,17.6
HYD-054,2026-08-01,2026-08-31,17284.8,6049.7,1221,35,20.0
HYD-055,2026-08-01,2026-08-31,29499.8,12960.1,2531,38,13.7
HYD-056,2026-08-01,2026-08-31,23712.0,8299.2,2351,39,19.9
HYD-057,2026-08-01,2026-08-31,15468.4,5498.3,1288,11,13.8
HYD-058,2026-08-01,2026-08-31,9899.1,3464.7,860,8,13.6
HYD-059,2026-08-01,2026-08-31,23316.6,11181.6,2271,20,19.5
HYD-060,2026-08-01,2026-08-31,11645.9,4076.1,794,31,8.2
HYD-061,2026-08-01,2026-08-31,24197.3,8469.1,1917,33,25.5
HYD-062,2026-08-01,2026-08-31,22887.8,10578.2,1651,6,8.5
HYD-063,2026-08-01,2026-08-31,13999.6,4899.9,1033,11,16.1
HYD-064,2026-08-01,2026-08-31,11091.5,3882.0,1100,13,9.6
HYD-065,2026-08-01,2026-08-31,6966.0,2438.1,633,36,23.5
HYD-066,2026-08-01,2026-08-31,18507.1,6477.5,1684,33,25.6
HYD-067,2026-08-01,2026-08-31,18247.2,6386.5,1633,35,21.3
HYD-068,2026-08-01,2026-08-31,13340.7,4956.8,1399,16,13.0
HYD-069,2026-08-01,2026-08-31,7958.2,2785.4,710,35,22.2
HYD-070,2026-08-01,2026-08-31,19815.8,9701.5,1861,7,12.4
HYD-071,2026-08-01,2026-08-31,32263.2,14857.2,2362,29,20.9
HYD-072,2026-08-01,2026-08-31,20886.8,7310.4,1564,40,17.1
HYD-073,2026-08-01,2026-08-31,19559.1,6845.7,1962,38,23.0
HYD-074,2026-08-01,2026-08-31,12672.1,4435.2,1026,27,18.9
HYD-075,2026-08-01,2026-08-31,33719.3,17692.0,2428,20,17.3
HYD-076,2026-08-01,2026-08-31,14535.4,6193.7,1399,32,22.8
HYD-077,2026-08-01,2026-08-31,26806.3,10703.2,1936,32,12.5
HYD-078,2026-08-01,2026-08-31,13805.2,4831.8,965,14,8.9
HYD-079,2026-08-01,2026-08-31,21354.0,10410.3,1869,8,23.3
HYD-080,2026-08-01,2026-08-31,27655.2,13526.5,2314,23,20.0
HYD-081,2026-08-01,2026-08-31,9168.1,3208.8,782,35,14.5
HYD-082,2026-08-01,2026-08-31,23558.4,9606.4,1764,23,17.1
HYD-083,2026-08-01,2026-08-31,27160.0,10719.3,2588,44,10.4
HYD-084,2026-08-01,2026-08-31,11157.9,3905.3,978,41,12.9
HYD-085,2026-08-01,2026-08-31,27467.5,14215.6,1839,15,12.6
HYD-086,2026-08-01,2026-08-31,9099.9,4401.4,614,41,22.8
HYD-087,2026-08-01,2026-08-31,12990.5,4546.7,887,29,19.9
HYD-088,2026-08-01,2026-08-31,21723.6,8042.5,1613,26,17.5
HYD-089,2026-08-01,2026-08-31,30382.4,17205.2,2233,10,12.5
HYD-090,2026-08-01,2026-08-31,28297.0,14193.2,2251,14,14.6
HYD-091,2026-08-01,2026-08-31,14880.4,5208.1,1059,9,19.4
AHM-001,2026-08-01,2026-08-31,33883.1,14763.6,2499,41,13.8
AHM-002,2026-08-01,2026-08-31,37028.1,18686.2,2513,10,14.3
AHM-003,2026-08-01,2026-08-31,20110.4,7038.6,1525,41,9.4
AHM-004,2026-08-01,2026-08-31,6989.3,2446.3,616,16,8.1
AHM-005,2026-08-01,2026-08-31,20562.8,7740.0,2108,29,18.7
AHM-006,2026-08-01,2026-08-31,10878.3,3807.4,831,32,11.7
AHM-007,2026-08-01,2026-08-31,24332.4,13206.7,2254,15,9.0
AHM-008,2026-08-01,2026-08-31,13059.6,4570.9,1020,43,17.0
AHM-009,2026-08-01,2026-08-31,18434.2,6452.0,1532,39,21.0
AHM-010,2026-08-01,2026-08-31,21267.3,8845.3,2008,44,18.8
AHM-011,2026-08-01,2026-08-31,17171.6,6010.1,1469,35,15.0
AHM-012,2026-08-01,2026-08-31,27170.7,10861.7,2206,19,24.5
AHM-013,2026-08-01,2026-08-31,34527.8,17217.0,2343,11,20.2
AHM-014,2026-08-01,2026-08-31,33067.4,12244.5,2423,38,22.4
AHM-015,2026-08-01,2026-08-31,9686.7,3390.3,888,9,10.9
AHM-016,2026-08-01,2026-08-31,21393.7,7487.8,1475,27,18.1
AHM-017,2026-08-01,2026-08-31,14159.2,4955.7,979,9,23.2
AHM-018,2026-08-01,2026-08-31,28328.1,11494.5,2082,24,17.2
AHM-019,2026-08-01,2026-08-31,12588.6,4406.0,1121,6,19.9
AHM-020,2026-08-01,2026-08-31,16746.4,5861.2,1124,22,17.1
AHM-021,2026-08-01,2026-08-31,26867.7,12511.0,2306,34,10.1
AHM-022,2026-08-01,2026-08-31,12006.1,4202.1,1220,38,23.6
AHM-023,2026-08-01,2026-08-31,32917.9,14316.4,2202,35,8.1
AHM-024,2026-08-01,2026-08-31,29933.7,12995.0,2430,44,10.5
AHM-025,2026-08-01,2026-08-31,29942.1,12107.7,2563,41,12.4
AHM-026,2026-08-01,2026-08-31,26062.0,13355.9,1876,13,17.1
AHM-027,2026-08-01,2026-08-31,15182.4,5383.3,1379,17,13.0
AHM-028,2026-08-01,2026-08-31,20061.0,8933.2,1806,21,21.9
AHM-029,2026-08-01,2026-08-31,31230.1,13040.8,2315,27,18.0
AHM-030,2026-08-01,2026-08-31,7796.6,2728.8,637,12,10.7
AHM-031,2026-08-01,2026-08-31,26593.1,11935.8,1873,22,8.4
AHM-032,2026-08-01,2026-08-31,17010.7,5953.7,1439,40,19.9
AHM-033,2026-08-01,2026-08-31,15018.8,5256.6,1432,34,13.5
AHM-034,2026-08-01,2026-08-31,27647.5,11678.3,1855,12,23.1
AHM-035,2026-08-01,2026-08-31,11762.3,4116.8,852,12,20.3
AHM-036,2026-08-01,2026-08-31,29752.4,12060.0,2239,44,8.2
AHM-037,2026-08-01,2026-08-31,7453.0,2608.5,634,36,25.5
AHM-038,2026-08-01,2026-08-31,26480.6,10647.7,2421,45,9.7
AHM-039,2026-08-01,2026-08-31,31903.0,16491.2,2445,8,20.0
AHM-040,2026-08-01,2026-08-31,14288.3,5000.9,1027,9,10.2
AHM-041,2026-08-01,2026-08-31,25034.6,13468.8,2474,17,11.7
AHM-042,2026-08-01,2026-08-31,10629.9,3720.5,957,36,18.3
AHM-043,2026-08-01,2026-08-31,18421.0,6447.3,1323,12,25.0
AHM-044,2026-08-01,2026-08-31,36854.7,18627.8,2481,45,8.7
AHM-045,2026-08-01,2026-08-31,14606.0,5112.1,1048,24,15.8
AHM-046,2026-08-01,2026-08-31,12675.2,4436.3,1012,18,8.4
AHM-047,2026-08-01,2026-08-31,16909.9,7813.9,1376,33,19.4
AHM-048,2026-08-01,2026-08-31,7790.3,2726.6,761,20,11.9
AHM-049,2026-08-01,2026-08-31,31357.9,10975.3,2295,36,23.2
AHM-050,2026-08-01,2026-08-31,18017.3,6444.1,1596,36,14.4
AHM-051,2026-08-01,2026-08-31,31167.6,13536.6,2200,38,9.1
AHM-052,2026-08-01,2026-08-31,21040.8,8407.7,1692,26,14.7
AHM-053,2026-08-01,2026-08-31,11653.0,4078.5,1026,14,21.1
AHM-054,2026-08-01,2026-08-31,15861.4,5551.5,1452,19,24.9
AHM-055,2026-08-01,2026-08-31,21757.1,10351.9,1902,22,13.9
